Post Title,Category,Slug,SEO Title,Meta Description,Focus Keyword,Content
Dr. Yashaswi,E.N.T,dr-yashaswi-yashaswi-e.n.t,Dr. Yashaswi – E.N.T at Maiya Hospital,"Meet Dr. Yashaswi, a E.N.T specialist with 15 years of experience. Available Mon–Tue, Thu–Sat from 5PM - 7PM at Maiya Hospital.",Dr. Yashaswi E.N.T in Bangalore,"**Speciality**: E.N.T
**Degrees**: MBBS, DLO
**Experience**: 15 Years
**Visiting Days**: Mon–Tue, Thu–Sat
**Timings**: 5PM - 7PM
**Consultation Fee**: ₹600
Dr. Yashaswi is a highly experienced e.n.t specialist with over 15 years of service. Available during Mon–Tue, Thu–Sat from 5PM - 7PM at Maiya Hospital."
Dr. Chethan Pai,E.N.T,dr-chethan-pai-e.n.t,Dr. Chethan Pai – E.N.T at Maiya Hospital,"Meet Dr. Chethan Pai, a E.N.T specialist with 15 years of experience. Available Mon–Sat from 11AM - 1PM at Maiya Hospital.",Dr. Chethan Pai E.N.T in Bangalore,"**Speciality**: E.N.T
**Degrees**: MBBS, DLO
**Experience**: 15 Years
**Visiting Days**: Mon–Sat
**Timings**: 11AM - 1PM
**Consultation Fee**: ₹500

Dr. Chethan Pai is a highly experienced e.n.t specialist with over 15 years of service. Available during Mon–Sat from 11AM - 1PM at Maiya Hospital."
Dr. Chandra Shekar H S,Orthopaedics,dr-chandra-s-orthopaedics,Dr. Chandra Shekar H S – Orthopaedics at Maiya Hospital,"Meet Dr. Chandra Shekar H S, a Orthopaedics specialist with 40 years of experience. Available Mon–Sat from 12:30PM - 2:30PM at Maiya Hospital.",Dr. Chandra Shekar H S Orthopaedics in Bangalore,"**Speciality**: Orthopaedics
**Degrees**: MBBS, MS, FIJR
**Experience**: 40 Years
**Visiting Days**: Mon–Sat
**Timings**: 12:30PM - 2:30PM
**Consultation Fee**: ₹600
Dr. Chandra Shekar H S is a highly experienced orthopaedics specialist with over 40 years of service. Available during Mon–Sat from 12:30PM - 2:30PM at Maiya Hospital."
Dr. Rahna Ameen,Physiotherapy,dr-rahna-ameen-physiotherapy,Dr. Rahna Ameen – Physiotherapy at Maiya Hospital,"Meet Dr. Rahna Ameen, a Physiotherapy specialist with 10 years of experience. Available Mon–Sat from 10AM - 12PM at Maiya Hospital.",Dr. Rahna Ameen Physiotherapy in Bangalore,"**Speciality**: Physiotherapy
**Degrees**: BPT, MIAP
**Experience**: 10 Years
**Visiting Days**: Mon–Sat
**Timings**: 10AM - 12PM
**Consultation Fee**: ₹500
Dr. Rahna Ameen is a highly experienced physiotherapy specialist with over 10 years of service. Available during Mon–Sat from 10AM - 12PM at Maiya Hospital."
Dr. Naresh Kumar,Physiotherapy,dr-naresh-kumar-physiotherapy,Dr. Naresh Kumar – Physiotherapy at Maiya Hospital,"Meet Dr. Naresh Kumar, a Physiotherapy specialist with 10 years of experience. Available Mon–Sat from 10AM - 12PM at Maiya Hospital.",Dr. Naresh Kumar Physiotherapy in Bangalore,"**Speciality**: Physiotherapy
**Degrees**: BPT, MIAP
**Experience**: 10 Years
**Visiting Days**: Mon–Sat
**Timings**: 10AM - 12PM
**Consultation Fee**: ₹500

Dr. Naresh Kumar is a highly experienced physiotherapy specialist with over 10 years of service. Available during Mon–Sat from 10AM - 12PM at Maiya Hospital."
Dr. Krishnappa R,Surgical Oncology,dr-krishnappa-r-surgical-oncology,Dr. Krishnappa R – Surgical Oncology at Maiya Hospital,"Meet Dr. Krishnappa R, a Surgical Oncology specialist with 35 years of experience. Available Mon–Sat from 4PM - 6PM at Maiya Hospital.",Dr. Krishnappa R Surgical Oncology in Bangalore,"**Speciality**: Surgical Oncology
**Degrees**: MBBS, MS, MCH
**Experience**: 35 Years
**Visiting Days**: Mon–Sat
**Timings**: 4PM - 6PM
**Consultation Fee**: ₹600
Dr. Krishnappa R is a highly experienced surgical oncology specialist with over 35 years of service. Available during Mon–Sat from 4PM - 6PM at Maiya Hospital."
Dr. Ananth Krishna M.A,Surgical Gastroenterology,dr-ananth-m.a-surgical-gastroenterology,Dr. Ananth Krishna M.A – Surgical Gastroenterology at Maiya Hospital,"Meet Dr. Ananth Krishna M.A, a Surgical Gastroenterology specialist with 15 years of experience. Available Mon–Sat from Appointment Only at Maiya Hospital.",Dr. Ananth Krishna M.A Surgical Gastroenterology in Bangalore,"**Speciality**: Surgical Gastroenterology
**Degrees**: MBBS, MS, FSGE
**Experience**: 15 Years
**Visiting Days**: Mon–Sat
**Timings**: Appointment Only
**Consultation Fee**: ₹600
Dr. Ananth Krishna M.A is a highly experienced surgical gastroenterology specialist with over 15 years of service. Available during Mon–Sat from Appointment Only at Maiya Hospital."
Dr. P.S. Prabhakaran,Surgical Oncology,dr-p.s.-prabhakaran-surgical-oncology,Dr. P.S. Prabhakaran – Surgical Oncology at Maiya Hospital,"Meet Dr. P.S. Prabhakaran, a Surgical Oncology specialist with 45 years of experience. Available Mon–Sat from 11AM - 2PM at Maiya Hospital.",Dr. P.S. Prabhakaran Surgical Oncology in Bangalore,"**Speciality**: Surgical Oncology
**Degrees**: MBBS, MS
**Experience**: 45 Years
**Visiting Days**: Mon–Sat
**Timings**: 11AM - 2PM
**Consultation Fee**: ₹600

Dr. P.S. Prabhakaran is a highly experienced surgical oncology specialist with over 45 years of service. Available during Mon–Sat from 11AM - 2PM at Maiya Hospital."
Dr. Pavan Prasad,Surgical Oncology,dr-pavan-prasad-surgical-oncology,Dr. Pavan Prasad – Surgical Oncology at Maiya Hospital,"Meet Dr. Pavan Prasad, a Surgical Oncology specialist with 20 years of experience. Available Mon–Sat from 5PM - 7PM at Maiya Hospital.",Dr. Pavan Prasad Surgical Oncology in Bangalore,"**Speciality**: Surgical Oncology
**Degrees**: MBBS, MS, DNB, MCH
**Experience**: 20 Years
**Visiting Days**: Mon–Sat
**Timings**: 5PM - 7PM
**Consultation Fee**: ₹600

Dr. Pavan Prasad is a highly experienced surgical oncology specialist with over 20 years of service. Available during Mon–Sat from 5PM - 7PM at Maiya Hospital."
Dr. Sushma B N,Obstetrics & Gynaecology,dr-sushma-n-obstetrics-&-gynaecology,Dr. Sushma B N – Obstetrics & Gynaecology at Maiya Hospital,"Meet Dr. Sushma B N, a Obstetrics & Gynaecology specialist with 10 years of experience. Available Mon–Sat from 5PM - 7PM at Maiya Hospital.",Dr. Sushma B N Obstetrics & Gynaecology in Bangalore,"**Speciality**: Obstetrics & Gynaecology
**Degrees**: MBBS, MS, DGO
**Experience**: 10 Years
**Visiting Days**: Mon–Sat
**Timings**: 5PM - 7PM
**Consultation Fee**: ₹500

Dr. Sushma B N is a highly experienced obstetrics & gynaecology specialist with over 10 years of service. Available during Mon–Sat from 5PM - 7PM at Maiya Hospital."
Dr. Ishwarya B,Obstetrics & Gynaecology,dr-ishwarya-b-obstetrics-&-gynaecology,Dr. Ishwarya B – Obstetrics & Gynaecology at Maiya Hospital,"Meet Dr. Ishwarya B, a Obstetrics & Gynaecology specialist with 10 years of experience. Available Mon–Sat from 6PM - 8PM at Maiya Hospital.",Dr. Ishwarya B Obstetrics & Gynaecology in Bangalore,"**Speciality**: Obstetrics & Gynaecology
**Degrees**: MBBS, MS
**Experience**: 10 Years
**Visiting Days**: Mon–Sat
**Timings**: 6PM - 8PM
**Consultation Fee**: ₹500

Dr. Ishwarya B is a highly experienced obstetrics & gynaecology specialist with over 10 years of service. Available during Mon–Sat from 6PM - 8PM at Maiya Hospital."
Dr. Lakshmi V Pandit,Psychiatry,dr-lakshmi-pandit-psychiatry,Dr. Lakshmi V Pandit – Psychiatry at Maiya Hospital,"Meet Dr. Lakshmi V Pandit, a Psychiatry specialist with 20 years of experience. Available Mon–Sat from 5PM - 7PM at Maiya Hospital.",Dr. Lakshmi V Pandit Psychiatry in Bangalore,"**Speciality**: Psychiatry
**Degrees**: MBBS, DPM, BPM, DNB
**Experience**: 20 Years
**Visiting Days**: Mon–Sat
**Timings**: 5PM - 7PM
**Consultation Fee**: ₹800

Dr. Lakshmi V Pandit is a highly experienced psychiatry specialist with over 20 years of service. Available during Mon–Sat from 5PM - 7PM at Maiya Hospital."
Dr. Lakshmikanth P,Cardiology,dr-lakshmikanth-p-cardiology,Dr. Lakshmikanth P – Cardiology at Maiya Hospital,"Meet Dr. Lakshmikanth P, a Cardiology specialist with 30 years of experience. Available Mon–Sat from 2PM - 4PM at Maiya Hospital.",Dr. Lakshmikanth P Cardiology in Bangalore,"**Speciality**: Cardiology
**Degrees**: MBBS, MD, DM
**Experience**: 30 Years
**Visiting Days**: Mon–Sat
**Timings**: 2PM - 4PM
**Consultation Fee**: ₹800

Dr. Lakshmikanth P is a highly experienced cardiology specialist with over 30 years of service. Available during Mon–Sat from 2PM - 4PM at Maiya Hospital."
Dr. Hrishikesh Vemula,Cardiology,dr-hrishikesh-vemula-cardiology,Dr. Hrishikesh Vemula – Cardiology at Maiya Hospital,"Meet Dr. Hrishikesh Vemula, a Cardiology specialist with 20 years of experience. Available Mon–Sat from 5PM - 7PM at Maiya Hospital.",Dr. Hrishikesh Vemula Cardiology in Bangalore,"**Speciality**: Cardiology
**Degrees**: MBBS, MD, DM
**Experience**: 20 Years
**Visiting Days**: Mon–Sat
**Timings**: 5PM - 7PM
**Consultation Fee**: ₹800

Dr. Hrishikesh Vemula is a highly experienced cardiology specialist with over 20 years of service. Available during Mon–Sat from 5PM - 7PM at Maiya Hospital."
Dr. Sujay Rao,Neurosurgery,dr-sujay-rao-neurosurgery,Dr. Sujay Rao – Neurosurgery at Maiya Hospital,"Meet Dr. Sujay Rao, a Neurosurgery specialist with 35 years of experience. Available Mon–Sat from 6PM - 8PM at Maiya Hospital.",Dr. Sujay Rao Neurosurgery in Bangalore,"**Speciality**: Neurosurgery
**Degrees**: MBBS, MS, MCH
**Experience**: 35 Years
**Visiting Days**: Mon–Sat
**Timings**: 6PM - 8PM
**Consultation Fee**: ₹1200
Dr. Sujay Rao is a highly experienced neurosurgery specialist with over 35 years of service. Available during Mon–Sat from 6PM - 8PM at Maiya Hospital."
Dr. Sandesh Manohar,Orthopaedics,dr-sandesh-manohar-orthopaedics,Dr. Sandesh Manohar – Orthopaedics at Maiya Hospital,"Meet Dr. Sandesh Manohar, a Orthopaedics specialist with 35 years of experience. Available Appointment Only from Appointment Only at Maiya Hospital.",Dr. Sandesh Manohar Orthopaedics in Bangalore,"**Speciality**: Orthopaedics
**Degrees**: MBBS, MS
**Experience**: 35 Years
**Visiting Days**: Appointment Only
**Timings**: Appointment Only
**Consultation Fee**: ₹600
Dr. Sandesh Manohar is a highly experienced orthopaedics specialist with over 35 years of service. Available during Appointment Only from Appointment Only at Maiya Hospital."
Dr. Ramesh Patel,Neurology,dr-ramesh-patel-neurology,Dr. Ramesh Patel – Neurology at Maiya Hospital,"Meet Dr. Ramesh Patel, a Neurology specialist with 25 years of experience. Available Mon–Sat from 7PM - 9PM at Maiya Hospital.",Dr. Ramesh Patel Neurology in Bangalore,"**Speciality**: Neurology
**Degrees**: MBBS, MD, DM
**Experience**: 25 Years
**Visiting Days**: Mon–Sat
**Timings**: 7PM - 9PM
**Consultation Fee**: ₹850
Dr. Ramesh Patel is a highly experienced neurology specialist with over 25 years of service. Available during Mon–Sat from 7PM - 9PM at Maiya Hospital."
Dr. Hari Prasad,Nephrology,dr-hari-prasad-nephrology,Dr. Hari Prasad – Nephrology at Maiya Hospital,"Meet Dr. Hari Prasad, a Nephrology specialist with 25 years of experience. Available Mon–Sat from 5PM - 7PM at Maiya Hospital.",Dr. Hari Prasad Nephrology in Bangalore,"**Speciality**: Nephrology
**Degrees**: MBBS, MS, M.CH
**Experience**: 25 Years
**Visiting Days**: Mon–Sat
**Timings**: 5PM - 7PM
**Consultation Fee**: ₹800

Dr. Hari Prasad is a highly experienced nephrology specialist with over 25 years of service. Available during Mon–Sat from 5PM - 7PM at Maiya Hospital."
Dr. Harshalatha,E.N.T,dr-harshalatha-harshalatha-e.n.t,Dr. Harshalatha – E.N.T at Maiya Hospital,"Meet Dr. Harshalatha, a E.N.T specialist with 10 years of experience. Available Mon–Sat from 10AM - 12PM at Maiya Hospital.",Dr. Harshalatha E.N.T in Bangalore,"**Speciality**: E.N.T
**Degrees**: MBBS, MS, DLO
**Experience**: 10 Years
**Visiting Days**: Mon–Sat
**Timings**: 10AM - 12PM
**Consultation Fee**: ₹500

Dr. Harshalatha is a highly experienced e.n.t specialist with over 10 years of service. Available during Mon–Sat from 10AM - 12PM at Maiya Hospital."
Dr. Sharmila Chennappa,Obstetrics & Gynaecology,dr-sharmila-chennappa-obstetrics-&-gynaecology,Dr. Sharmila Chennappa – Obstetrics & Gynaecology at Maiya Hospital,"Meet Dr. Sharmila Chennappa, a Obstetrics & Gynaecology specialist with 20 years of experience. Available Appointment Only from Appointment Only at Maiya Hospital.",Dr. Sharmila Chennappa Obstetrics & Gynaecology in Bangalore,"**Speciality**: Obstetrics & Gynaecology
**Degrees**: MBBS, MS
**Experience**: 20 Years
**Visiting Days**: Appointment Only
**Timings**: Appointment Only
**Consultation Fee**: ₹600

Dr. Sharmila Chennappa is a highly experienced obstetrics & gynaecology specialist with over 20 years of service. Available during Appointment Only from Appointment Only at Maiya Hospital."
Dr. Sravan C P,Vascular Surgery,dr-sravan-p-vascular-surgery,Dr. Sravan C P – Vascular Surgery at Maiya Hospital,"Meet Dr. Sravan C P, a Vascular Surgery specialist with 20 years of experience. Available Appointment Only from Appointment Only at Maiya Hospital.",Dr. Sravan C P Vascular Surgery in Bangalore,"**Speciality**: Vascular Surgery
**Degrees**: MBBS, MS, MRCS
**Experience**: 20 Years
**Visiting Days**: Appointment Only
**Timings**: Appointment Only
**Consultation Fee**: ₹600

Dr. Sravan C P is a highly experienced vascular surgery specialist with over 20 years of service. Available during Appointment Only from Appointment Only at Maiya Hospital."
Dr. Sudhakar S,Radiology,dr-sudhakar-s-radiology,Dr. Sudhakar S – Radiology at Maiya Hospital,"Meet Dr. Sudhakar S, a Radiology specialist with 20 years of experience. Available Mon–Sat from 6PM - 8PM at Maiya Hospital.",Dr. Sudhakar S Radiology in Bangalore,"**Speciality**: Radiology
**Degrees**: MBBS, DMRD, MD
**Experience**: 20 Years
**Visiting Days**: Mon–Sat
**Timings**: 6PM - 8PM
**Consultation Fee**: ₹600

Dr. Sudhakar S is a highly experienced radiology specialist with over 20 years of service. Available during Mon–Sat from 6PM - 8PM at Maiya Hospital."
Dr. B G Mahesh,Radiology,dr-b-mahesh-radiology,Dr. B G Mahesh – Radiology at Maiya Hospital,"Meet Dr. B G Mahesh, a Radiology specialist with 7 years of experience. Available Mon–Sat from 9AM - 5PM at Maiya Hospital.",Dr. B G Mahesh Radiology in Bangalore,"**Speciality**: Radiology
**Degrees**: MBBS, MD, FRGUHS
**Experience**: 7 Years
**Visiting Days**: Mon–Sat
**Timings**: 9AM - 5PM
**Consultation Fee**: ₹600

Dr. B G Mahesh is a highly experienced radiology specialist with over 7 years of service. Available during Mon–Sat from 9AM - 5PM at Maiya Hospital."
Dr. Rakesh K,Plastic Surgery,dr-rakesh-k-plastic-surgery,Dr. Rakesh K – Plastic Surgery at Maiya Hospital,"Meet Dr. Rakesh K, a Plastic Surgery specialist with 10 years of experience. Available Mon–Sat from 5PM - 7PM at Maiya Hospital.",Dr. Rakesh K Plastic Surgery in Bangalore,"**Speciality**: Plastic Surgery
**Degrees**: MBBS, DNB, MCH
**Experience**: 10 Years
**Visiting Days**: Mon–Sat
**Timings**: 5PM - 7PM
**Consultation Fee**: ₹600
Dr. Rakesh K is a highly experienced plastic surgery specialist with over 10 years of service. Available during Mon–Sat from 5PM - 7PM at Maiya Hospital."
Dr. Preethan Nagappa,Surgical Gastroenterology,dr-preethan-nagappa-surgical-gastroenterology,Dr. Preethan Nagappa – Surgical Gastroenterology at Maiya Hospital,"Meet Dr. Preethan Nagappa, a Surgical Gastroenterology specialist with 20 years of experience. Available Appointment Only from Appointment Only at Maiya Hospital.",Dr. Preethan Nagappa Surgical Gastroenterology in Bangalore,"**Speciality**: Surgical Gastroenterology
**Degrees**: MBBS, MS
**Experience**: 20 Years
**Visiting Days**: Appointment Only
**Timings**: Appointment Only
**Consultation Fee**: ₹600
Dr. Preethan Nagappa is a highly experienced surgical gastroenterology specialist with over 20 years of service. Available during Appointment Only from Appointment Only at Maiya Hospital."
Dr. Arpitha B Poojary,Paediatrics,dr-arpitha-poojary-paediatrics,Dr. Arpitha B Poojary – Paediatrics at Maiya Hospital,"Meet Dr. Arpitha B Poojary, a Paediatrics specialist with 2 years of experience. Available Mon–Sat from 10AM - 12PM at Maiya Hospital.",Dr. Arpitha B Poojary Paediatrics in Bangalore,"**Speciality**: Paediatrics
**Degrees**: MBBS, MD
**Experience**: 2 Years
**Visiting Days**: Mon–Sat
**Timings**: 10AM - 12PM
**Consultation Fee**: ₹600

Dr. Arpitha B Poojary is a highly experienced paediatrics specialist with over 2 years of service. Available during Mon–Sat from 10AM - 12PM at Maiya Hospital."
Dr. Murali P,Medical Oncology,dr-murali-p-medical-oncology,Dr. Murali P – Medical Oncology at Maiya Hospital,"Meet Dr. Murali P, a Medical Oncology specialist with 10 years of experience. Available Mon–Sat from 2PM - 4PM at Maiya Hospital.",Dr. Murali P Medical Oncology in Bangalore,"**Speciality**: Medical Oncology
**Degrees**: MBBS, MD
**Experience**: 10 Years
**Visiting Days**: Mon–Sat
**Timings**: 2PM - 4PM
**Consultation Fee**: ₹750

Dr. Murali P is a highly experienced medical oncology specialist with over 10 years of service. Available during Mon–Sat from 2PM - 4PM at Maiya Hospital."
Dr. Sagar S,Anaesthesia,dr-sagar-s-anaesthesia,Dr. Sagar S – Anaesthesia at Maiya Hospital,"Meet Dr. Sagar S, a Anaesthesia specialist with 10 years of experience. Available Mon–Sat from 4PM - 6PM at Maiya Hospital.",Dr. Sagar S Anaesthesia in Bangalore,"**Speciality**: Anaesthesia
**Degrees**: MBBS, MD
**Experience**: 10 Years
**Visiting Days**: Mon–Sat
**Timings**: 4PM - 6PM
**Consultation Fee**: ₹600

Dr. Sagar S is a highly experienced anaesthesia specialist with over 10 years of service. Available during Mon–Sat from 4PM - 6PM at Maiya Hospital."
Dr. Ganesh Shenoy,General Surgery,dr-ganesh-shenoy-general-surgery,Dr. Ganesh Shenoy – General Surgery at Maiya Hospital,"Meet Dr. Ganesh Shenoy, a General Surgery specialist with 15 years of experience. Available Appointment Only from 6PM - 8PM at Maiya Hospital.",Dr. Ganesh Shenoy General Surgery in Bangalore,"**Speciality**: General Surgery
**Degrees**: MBBS, MS
**Experience**: 15 Years
**Visiting Days**: Appointment Only
**Timings**: 6PM - 8PM
**Consultation Fee**: ₹600

Dr. Ganesh Shenoy is a highly experienced general surgery specialist with over 15 years of service. Available during Appointment Only from 6PM - 8PM at Maiya Hospital."
Dr. G L Maiya,General Surgery,dr-g-maiya-general-surgery,Dr. G L Maiya – General Surgery at Maiya Hospital,"Meet Dr. G L Maiya, a General Surgery specialist with 30 years of experience. Available Mon–Sat from 10AM - 12PM at Maiya Hospital.",Dr. G L Maiya General Surgery in Bangalore,"**Speciality**: General Surgery
**Degrees**: MBBS, MS
**Experience**: 30 Years
**Visiting Days**: Mon–Sat
**Timings**: 10AM - 12PM
**Consultation Fee**: ₹600

Dr. G L Maiya is a highly experienced general surgery specialist with over 30 years of service. Available during Mon–Sat from 10AM - 12PM at Maiya Hospital."
Dr. Niranjan P,General Surgery,dr-niranjan-p-general-surgery,Dr. Niranjan P – General Surgery at Maiya Hospital,"Meet Dr. Niranjan P, a General Surgery specialist with 20 years of experience. Available Mon–Sat from 5PM - 7PM at Maiya Hospital.",Dr. Niranjan P General Surgery in Bangalore,"**Speciality**: General Surgery
**Degrees**: MBBS, MS
**Experience**: 20 Years
**Visiting Days**: Mon–Sat
**Timings**: 5PM - 7PM
**Consultation Fee**: ₹600

Dr. Niranjan P is a highly experienced general surgery specialist with over 20 years of service. Available during Mon–Sat from 5PM - 7PM at Maiya Hospital."
Dr. Nagaraja K,General Surgery,dr-nagaraja-k-general-surgery,Dr. Nagaraja K – General Surgery at Maiya Hospital,"Meet Dr. Nagaraja K, a General Surgery specialist with 30 years of experience. Available Mon–Sat from 11AM - 1PM at Maiya Hospital.",Dr. Nagaraja K General Surgery in Bangalore,"**Speciality**: General Surgery
**Degrees**: MBBS, MS
**Experience**: 30 Years
**Visiting Days**: Mon–Sat
**Timings**: 11AM - 1PM
**Consultation Fee**: ₹600

Dr. Nagaraja K is a highly experienced general surgery specialist with over 30 years of service. Available during Mon–Sat from 11AM - 1PM at Maiya Hospital."
